"GIUDIZIO","GENERE","NAZIONE","ANNO","DURATA","VISIBILITÀ"
2,"HOR","ITA",91,117,"ADU"
1,"COM","ITA",84,95,"GEN"
1,"DRA","ITA",40,90,"TUT"
2,"WES","ITA",71,150,"GEN"
1,"HOR","ITA",80,95,"ADU"
2,"COM","ITA",85,114,"TUT"
2,"HOR","ITA",89,106,"ADU"
2,"AVV","ITA",92,114,"TUT"
2,"DRA","ITA",94,115,"GEN"
2,"WES","ITA",72,128,"TUT"
2,"AVV","ITA",83,86,"GEN"
2,"WES","ITA",67,100,"ADU"
1,"COM","ITA",91,98,"GEN"
3,"COM","ITA",63,95,"ADU"
2,"SPI","ITA",88,113,"GEN"
3,"COM","ITA",62,102,"TUT"
1,"DRA","ITA",87,94,"ADU"
2,"COM","ITA",89,114,"TUT"
1,"COM","ITA",74,100,"ADU"
2,"COM","ITA",86,110,"TUT"
3,"DRA","ITA",91,90,"ADU"
3,"COM","ITA",81,110,"TUT"
1,"COM","ITA",93,98,"ADU"
2,"COM","ITA",92,110,"TUT"
2,"COM","ITA",61,94,"TUT"
1,"COM","ITA",73,95,"GEN"
2,"COM","ITA",75,95,"ADU"
3,"COM","ITA",79,99,"TUT"
2,"COM","ITA",53,94,"TUT"
2,"COM","ITA",67,115,"GEN"
1,"COM","ITA",89,80,"GEN"
2,"COM","ITA",70,108,"GEN"
4,"DRA","ITA",87,160,"ADU"
3,"COM","ITA",71,103,"ADU"
1,"CMC","ITA",90,97,"ADU"
3,"WES","ITA",68,167,"GEN"
2,"COM","ITA",69,96,"GEN"
1,"COM","ITA",84,92,"GEN"
2,"DRA","ITA",92,89,"GEN"
3,"COM","ITA",78,100,"GEN"
3,"CMC","ITA",80,95,"TUT"
2,"COM","ITA",82,99,"GEN"
1,"POL","ITA",83,90,"ADU"
2,"COM","ITA",91,97,"ADU"
2,"GIA","ITA",68,91,"ADU"
2,"COM","ITA",54,101,"GEN"
2,"COM","ITA",93,91,"GEN"
2,"WES","ITA",68,132,"ADU"
4,"COM","MES",92,144,"GEN"
4,"DRA","NZ",93,110,"GEN"
3,"DRA","SVE",47,90,"GEN"
4,"COM","URSS",84,143,"GEN"
4,"DRA","USA",60,125,"GEN"
2,"BEL","USA",68,141,"GEN"
3,"DRA","USA",62,132,"GEN"
2,"COM","USA",77,88,"GEN"
2,"DRA","USA",51,90,"TUT"
2,"COM","USA",89,108,"GEN"
2,"BEL","USA",80,100,"GEN"
1,"COM","USA",87,90,"GEN"
3,"DRA","USA",55,108,"GEN"
2,"COM","USA",70,100,"TUT"
2,"AZI","USA",84,120,"GEN"
2,"COM","USA",74,78,"TUT"
2,"AZI","USA",90,90,"ADU"
2,"COM","USA",68,98,"ADU"
2,"DRA","USA",66,99,"ADU"
2,"COM","USA",91,110,"TUT"
1,"AZI","USA",93,89,"GEN"
2,"COM","USA",92,112,"GEN"
3,"DRA","USA",90,129,"GEN"
2,"COM","USA",59,92,"GEN"
2,"DRA","USA",41,125,"ADU"
4,"COM","USA",53,91,"GEN"
3,"DRA","USA",53,118,"GEN"
4,"COM","USA",38,93,"GEN"
1,"AZI","USA",91,95,"ADU"
2,"COM","USA",90,90,"GEN"
3,"DRA","USA",87,105,"GEN"
2,"COM","USA",87,99,"GEN"
1,"AZI","USA",79,90,"ADU"
2,"COM","USA",33,83,"GEN"
1,"AZI","USA",83,107,"ADU"
3,"COM","USA",92,98,"TUT"
1,"DRA","USA",87,120,"ADU"
2,"COM","USA",89,112,"GEN"
1,"DRA","USA",93,105,"ADU"
3,"COM","USA",92,128,"TUT"
